Grupė,Numeris,Pavadinimas,Kategorija,Sub-kategorija,Sub-sub-kategorija,sub-sub-sub-kategorijos
P430,4302101,"Klijai LIPALAS universal≈´s  0,1 kg (28)",Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4303999,"Klijai LIPALAS universal≈´s  0,5 kg butelis (12)",Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302860,Klijai LIPALAS universal≈´s  1 kg butelis (6),Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302038,Klijai LIPALAS universal≈´s  1 kg kibirƒólis (6),Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302620,Klijai LIPALAS universal≈´s  2 kg (4),Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302201,"Klijai LIPALAS universal≈´s  5,5 kg (1)",Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302027,Klijai LIPALAS universal≈´s 10 kg (1),Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302370,Klijai universal≈´s MOMENT Classik 120 ml Henkel,Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302371,Klijai universal≈´s MOMENT Classik 50 ml Henkel,Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302484,Klijai universal≈´s MOMENT GEL 58 ml Henkel,Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302400,Klijai universal≈´s SUPER MOMENT 3 g Henkel (12),Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P430,4302399,Klijai universal≈´s SUPER MOMENT gel 2 g Henkel (12),Remonto darbams,"Klijai, montavimo putos, silikonai ",Universalūs klijai,
P431,4314231,Akrilas ECONOMY LINE 280 ml baltas (25),Remonto darbams,"Klijai, montavimo putos, silikonai ","Montavimo putos, silikonai",
P431,4314046,Derva epoksidinƒó 150 g,Remonto darbams,"Klijai, montavimo putos, silikonai ","Montavimo putos, silikonai",
P431,4315180,Derva epoksidinƒó 500 g,Remonto darbams,"Klijai, montavimo putos, silikonai ","Montavimo putos, silikonai",
